token,status
0x914bdbFf0612662F66d84e184DBD89AAeBF167F4,not fot
0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,fot
0x423f4e6138E475D85CF7Ea071AC92097Ed631eea,not fot
0x83074721c28Af0a378202Da3F961270302534b05,not fot
0xCA5001bC5134302Dbe0F798a2d0b95Ef3cF0803F,fot
0xF37D26aeB99eE4cDa8FBCd9B0CF778ae494A57D1,not fot
0xA57Ed6E54be8125BBE45D6cA330E45EbB71ef11e,not fot
0x11831C3FF9D8231de8632Ce10f59ED7fDC1C53c9,not fot
0xfF836A5821E69066c87E268bC51b849FaB94240C,not fot
0xcB9693486240bbD3FBC5A06628B42494d61656B7,fot
0xAe9866547bE7e343A3f59c12f031bABf772D79BC,not fot
0x0db5cF386a9FE104Fe3597F013db71bfAe89416c,not fot
0x5EbFFc53C3b8A71120789a211F9B91C79c78D1e0,not fot
0xA500b88A6559D074b2198E528c33ADF850108A28,not fot
0xC81b0d02393a956234E24564805a896f14ad1250,not fot
0xf9c5CE0C5FA29B487B7329bb92d8e473C386f82B,fot
0xA35923162C49cF95e6BF26623385eb431ad920D3,not fot
0x04969cD041C0cafB6AC462Bd65B536A5bDB3A670,not fot
0x5DE8ab7E27f6E7A1fFf3E5B337584Aa43961BEeF,not fot
0x38E68A37E401F7271568CecaAc63c6B1e19130B4,fot
0x8355DBE8B0e275ABAd27eB843F3eaF3FC855e525,not fot
0xa1a36D3537bBe375Cc9694795F663DDC8D516Db9,not fot
0x471A202f69D6e975DA55E363daB1bDB2e86E0c0f,not fot
0x6B175474E89094C44Da98b954EedeAC495271d0F,not fot
0xBA6b3892064D71f87428C0129E9d73fc852A5003,not fot
0x2aD9adDD0d97EC3cDBA27F92bF6077893b76Ab0b,not fot
0x8c44b722EDe8D6cC9f7b2372cBe10a935E5092b1,fot
0xAC57De9C1A09FeC648E93EB98875B212DB0d460B,not fot
0xd2e01c3dE355d544c6A587d4b80E2Ff8849146e1,not fot
0xf7168c8AbB0ff80116413a8d95396BBdC318A3fF,not fot
0x6De037ef9aD2725EB40118Bb1702EBb27e4Aeb24,not fot
0x859a9C0b44cb7066D956a958B0b82e54C9e44b4B,fot
0x27C70Cd1946795B66be9d954418546998b546634,not fot
0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,not fot
0x58b9CaEDd67c57dD6aDb1baB82EbB07749a297AB,fot
0x666b9aB33f81Af9EaC04BE4387C01A50b3B58a94,not fot
0xE86DF1970055e9CaEe93Dae9B7D5fD71595d0e18,not fot
0x3adf095d04311d7BF05C838F0d3DC34a83D81aB6,fot
0xF411903cbC70a74d22900a5DE66A2dda66507255,not fot
0x761D38e5ddf6ccf6Cf7c55759d5210750B5D60F3,not fot
0x9e18d5BAB2FA94a6A95F509Ecb38F8F68322AbD3,not fot
0x47B6Fb1fCb69A9a673457d92457F2dC28F7A26bF,not fot
0x8eD97a637A790Be1feff5e888d43629dc05408F6,not fot
0xCaeda9650cCD356aF7776057a105F9e6FfE68213,not fot
0xc951F7d453f72B9da413732952659a71bc883620,fot
0x38CF11283de05cF1823b7804bC75068bd6296957,not fot
0x4Fb721eF3Bf99e0f2c193847afA296b9257d3C30,not fot
0x6982508145454Ce325dDbE47a25d4ec3d2311933,not fot
0xF4918b947b7e9819eB813dF276F54AD95D20417a,fot
0xcB27E0b9530D5107302e3e0691Dd0f64FAf498B0,fot
0x73C6A7491d0dB90Bdb0060308CDE0F49dfD1D0B0,not fot
0x111111111117dC0aa78b770fA6A738034120C302,not fot
0xC150A5841e5B0F046a46e85fb22CBD05185b20F2,fot
0x695c8a662AD07c08F6e406E902Ba374A2E892fb5,fot
0x846422103b109EFbE7DD15F541c3dfc838FC1848,not fot
0x0a693a301215aad39D83A32A5b5279f2D238851b,fot
0x0A13A5929e5F0ff0EABA4Bd9e9512C91fCE40280,not fot
0xED0172ed8942e37D9184174eedf107Db3C5A99Ba,not fot
0x4B1E80cAC91e2216EEb63e29B957eB91Ae9C2Be8,not fot
0x66A3A58F812d0f433DaaF1D96E14fD72D1D03D67,not fot
0xc9b6A17EbB43491635F603A01f8Bb3e4B5D22228,fot
0x125518BA3bBCC836EeA4c520a086EF297706E999,not fot
0x26f45C6D6bfdd89d37a8856838c2141348334E0F,fot
0xE0f63A424a4439cBE457D80E4f4b51aD25b2c56C,not fot
0xCa7013bA4Bf76bCdc3ffC71735896682644f47C2,fot
0xAca55D5A5F58e29BD1E00E4B1Bdeda62D2ECf33f,not fot
0x2DAf397bE543cB416ff09A7F48eE5505b074BEde,not fot
0xCC484b16911AEF4641C2342C3c1460019fe33794,not fot
0xBb19DA2482308ec02a242ACED4Fe0f09D06b12A7,not fot
0x72e4f9F808C49A2a61dE9C5896298920Dc4EEEa9,not fot
0x9813037ee2218799597d83D4a5B6F3b6778218d9,not fot
0xbb9FD9Fa4863C03c574007fF3370787B9cE65ff6,not fot
0xe9Da5E227e3Fa4Fc933b5f540BE021e7EcC3Fd81,not fot
0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,not fot
0x01D182420a501e29C31D41bBCC7a25A4200d1535,fot
0x09917201cB5D0D219dC286deCB1181AEb40d1724,fot
0x8DF60CFC67c1bF51Fe3dD61B34B156F14F538f5d,fot
0x3eC15c4745e21ab3831D1f51c492e3b5582d6239,not fot
0xf964f5ac7fb3e3054D13f88b9aEbF5d58f1533BC,fot
0x8D58655718782b569aa4F73698E80bA733dAD224,not fot
0xC82E3dB60A52CF7529253b4eC688f631aad9e7c2,not fot
0x7C1cd3b94d269036964cBB33511D58bA802e9055,fot
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,not fot
0x728b3F6A79f226BC2108D21aBd9b455d679ef725,not fot
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,fot
0x4D17d32c84D42010b742fd2bF4805eCd48D107c9,not fot
0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,not fot
0x01E87d74B11f656A673a3E7c441425816213Eb0c,fot
0x4208Aa4d7A9a10f4f8bb7f6400c1b2161D946969,not fot
0x9138C8779A0Ac8a84D69617D5715BD8AFa23C650,not fot
0x562e12e1E792643d168C1fa01c1b7198a0f83C9F,fot
0x993864E43Caa7F7F12953AD6fEb1d1Ca635B875F,not fot
0xD2DD9AE2EfDCF2Ac638A5865b0B76790Ed62a97e,not fot
0xeb509C2a67efD689119fb338f7b1118E29c67027,fot
0x512Abe7B6299AE9a8de3A02E964eBca0926C3e49,fot
0xa2c798f6456E4928f1E029C971007A09416A3db0,fot
0xF68A4906b960C344865820BCb9b9D4d9FF93c9F9,not fot
0x4Fabb145d64652a948d72533023f6E7A623C7C53,not fot
0xA9929db24e9837f622F94B82F2AbE78Aa971288F,not fot
0xfcaF0e4498E78d65526a507360F755178b804Ba8,not fot
0xd61e1cAfD50e570356DD5F6D679A7bd0535A7fcf,not fot
0x3a2348DbB9250a43226a27e21EDB94882Bb7de8d,not fot
0x9F891b5ECbd89DD8A5Ee4d1D80EfC3fE78b306CB,not fot
0x027385B5eC5017DAEfbbC8F08822FBF6D09b63DC,not fot
0x27f103f86070Cc639FEf262787a16887D22D8415,not fot
0x4C45bbEc2fF7810ef4a77ad7BD4757C446Fe4155,not fot
0xae83511C4Ef07358e2D95B0c219A5f9EB8656A61,fot
0x0b0a8c7C34374C1d0C649917a97EeE6c6c929B1b,fot
0x230f5ED78A45452f726365b8Ad1D6866F5Faa68F,fot
0xf1187276e688b902f667D61345F7241Cf77cb0fa,not fot
0x282643b4C4F91360253502c56FB782F5492158cB,not fot
0xbe042e9d09CB588331Ff911c2B46FD833A3E5bd6,fot
0xB167b290D172eb33e221309592Df0C042ab9DcDD,fot
0x4965b3b90f3a63Fc72F74e53322f66b2a174a98F,not fot
0xf6aFC05fCCEa5A53F22A3e39fFeE861e016Bd9A0,fot
0x43D7E65B8fF49698D9550a7F315c87E67344FB59,not fot
0x514910771AF9Ca656af840dff83E8264EcF986CA,not fot
0x94Be6962be41377d5BedA8dFe1b100F3BF0eaCf3,not fot
0x4309E88D1D511F3764Ee0F154cEE98d783B61f09,not fot
0xaBeC00542D141BDdF58649bfe860C6449807237c,fot
0xc8De43Bfe33FF496Fa14c270D9CB29Bda196B9B5,not fot
0x5C2BEB47F7C9503400bF1142468c2D924985FBaf,not fot
0xD807f7e2818dB8edA0d28B5bE74866338eaEDB86,not fot
0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,not fot
0xb26dAA81bAC31981F0CA4A3a058cD3d67F7a1755,not fot
0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA,not fot
0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,not fot
0x5732046A883704404F284Ce41FfADd5b007FD668,not fot
