msg_sender,token,is_transfer_from,sender,receiver,amount,block_number,gas_price,max_fee_per_gas,max_priority_fee_per_gas,tx_hash,tx_index
0xe46e6fe31a6a752193d121a93229d0b73523eea1,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,true,0xb4859cd94e8939244dfa51784d847243b9b761b3,0xe46e6fe31a6a752193d121a93229d0b73523eea1,78834655502736750782807,18175312,8176555774,9425865198,100000000,0x6bb29f29d8e09cc5497668f67a5d88ff60f1235e7023cdbb9206c79d1314abf7,93
0xd1b47490209ccb7a806e8a45d9479490c040abf4,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,false,0xd1b47490209ccb7a806e8a45d9479490c040abf4,0x4a1747b78837c10f33a5760fc085416622dbcf3f,51338289537851646996491,18175915,9000000000,9000000000,9000000000,0xca4168f33b1e4629566fbccd517417f74393094200287bb0b6859c1c20d2f029,80
0x1a89ae3ba4f9a97b10bac6a77061f00bb956858b,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,false,0x1a89ae3ba4f9a97b10bac6a77061f00bb956858b,0xd1b47490209ccb7a806e8a45d9479490c040abf4,126430385197594146411882,18175589,9000000000,9000000000,9000000000,0xf1898f5c32a21429266f16bc818d6406800ca40d4b129b7b1f9d541354c262a8,58
0xd1b47490209ccb7a806e8a45d9479490c040abf4,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,false,0xd1b47490209ccb7a806e8a45d9479490c040abf4,0x374851d460d5617b4ba91ff1804d9f6bd36a63c2,128735102308475437564880,18177552,20000000000,20000000000,20000000000,0xe921aeb52713bb76d59274cb5e090ed1655a5e16c6738867694a1057a0963fd4,39
0xd1b47490209ccb7a806e8a45d9479490c040abf4,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,false,0xd1b47490209ccb7a806e8a45d9479490c040abf4,0x1a89ae3ba4f9a97b10bac6a77061f00bb956858b,101865260420000000000000,18177156,15000000000,15000000000,15000000000,0xdb9e12d1b2183233d79409572d209a5cabdf59080e3f76bc3fbe4ac3f58e12cf,109
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,true,0x7298bc9386cc1cbdc42b0a7377364fc9cf62fadd,0xd1b47490209ccb7a806e8a45d9479490c040abf4,112389072975000000000000,18175869,8000000000,8000000000,8000000000,0xf4caa10f95aa520978b15a66548117c5eed9b33960c0efc5faeb0e7882679a69,134
0x1a89ae3ba4f9a97b10bac6a77061f00bb956858b,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,false,0x1a89ae3ba4f9a97b10bac6a77061f00bb956858b,0xd1b47490209ccb7a806e8a45d9479490c040abf4,113609819035932667271837,18174632,10000000000,10000000000,10000000000,0x24ddfac0f71ab0561445da8bb564db08c1082f1fad4e136235dbdcdc0df3db7c,103
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,true,0x72d1628330e5d2fbb2d2808b50644170f2a18c67,0xd1b47490209ccb7a806e8a45d9479490c040abf4,72194526032000000000000,18176994,12000000000,12000000000,12000000000,0xfc24ef71468b601209a2f90422f72a5a661b3547317c2f19e4c958ce3394caef,69
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,true,0xfa086458160fb94a43255500757cb8f269639de1,0xd1b47490209ccb7a806e8a45d9479490c040abf4,127404483461000000000000,18178112,15000000000,15000000000,15000000000,0x76ef4ada1d7931d8804fad3b692bbf20d13d81e19ae52f70388ed7e5466af3db,87
0x81153f0889ab398c4acb42cb58b565a5392bba95,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,false,0x81153f0889ab398c4acb42cb58b565a5392bba95,0x1a89ae3ba4f9a97b10bac6a77061f00bb956858b,134229400000000000000000,18177757,21577909578,400000000000,0,0x36b820865ab6011981689c06940a1861186535cbb1332c533e38860876050457,17
