msg_sender,token,is_transfer_from,sender,receiver,amount,block_number,gas_price,max_fee_per_gas,max_priority_fee_per_gas,tx_hash,tx_index
0x000000000022d473030f116ddee9f6b43ac78ba3,0x6580685617a8721df77ca42a08e7b1d58da79cf9,true,0x25da5e013950e55fcf09fd11fa7d2334698285a5,0x9f3a95721ff945cd546552f911219a968d26eab3,13514159182861396,18168513,11170699993,16444124272,100000000,0xb37c5799f3f13b12adfc53b36d507a057b292856b6f01d71040e017fb64b1985,136
0x77edae6a5f332605720688c7fda7476476e8f83f,0x6580685617a8721df77ca42a08e7b1d58da79cf9,true,0xfcc2aa8fd591ff7f6297c7887c9e1b43b65adc7c,0x9f3a95721ff945cd546552f911219a968d26eab3,2145480371259969,18148375,9129029115,12550000000,99000000,0x0421c21372abf83ff1a44091b4756410af12dc6dcd2734ca26f5c769a6d2f994,108
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6580685617a8721df77ca42a08e7b1d58da79cf9,true,0x7d874a1524a86a0c169173a081400a3c34ac32d1,0x9f3a95721ff945cd546552f911219a968d26eab3,2758158259413777,18128567,14000000000,null,null,0xb4bb178f694245ab904cd00b752b8dc94ae581969ad58f321700ad9cb4896da8,13
0x1111111254eeb25477b68fb85ed929f73a960582,0x6580685617a8721df77ca42a08e7b1d58da79cf9,true,0x7dede38b531a8a6e393f753ef56af5fb21ddb547,0x9f3a95721ff945cd546552f911219a968d26eab3,2227277539170038,18101988,10891275154,18943259010,500000000,0x40d4e572d0c9258059d6c51a27e1ebb845d50272a255f3f8ed75fb39f95954c1,142
0x000000000022d473030f116ddee9f6b43ac78ba3,0x6580685617a8721df77ca42a08e7b1d58da79cf9,true,0x8d496861257e1feadc2f66bc7e21f1636a58c7a0,0x9f3a95721ff945cd546552f911219a968d26eab3,4536521995410443,18083145,10434136463,13144298210,100000000,0xb5eb65b2c687c64929cbe36fe34b107510ba5da2c7642e864279af09a7f80180,85
0x9f3a95721ff945cd546552f911219a968d26eab3,0x6580685617a8721df77ca42a08e7b1d58da79cf9,false,0x9f3a95721ff945cd546552f911219a968d26eab3,0xdbafc4b65bfc3642d33f43b203a2a3c4b5deaaec,2979953473674532,18076220,12776901079,14219864972,26032562,0xd68578ff05030c2eb4fb2fa088d2e7e4c0f76767f41bb2643e4b27e3d99a4c33,168
0x9f3a95721ff945cd546552f911219a968d26eab3,0x6580685617a8721df77ca42a08e7b1d58da79cf9,false,0x9f3a95721ff945cd546552f911219a968d26eab3,0x2f3cc0babc536145f56e23b213e460c64b5bb13c,794607622885042,18076127,13903514933,19355272400,3000000000,0x5cadf5c795fd3498784bcc30416030ee675b695cc3f5052ab94c0b7bca4d8bea,56
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6580685617a8721df77ca42a08e7b1d58da79cf9,true,0x73c2a1dd63fb507f5ccb113ceea12864c5306eb4,0x9f3a95721ff945cd546552f911219a968d26eab3,10654339000000000,18076125,14462163912,20193245868,3000000000,0xbd2eebadf68cc0bb8f7052858b3735d1354e82a74bbb8a9c89bdf0c75632ce7a,8
0x9f3a95721ff945cd546552f911219a968d26eab3,0x6580685617a8721df77ca42a08e7b1d58da79cf9,false,0x9f3a95721ff945cd546552f911219a968d26eab3,0x25da5e013950e55fcf09fd11fa7d2334698285a5,4788077065471311,18075986,10576558420,14120491430,100000000,0x43bd49cbd3d6c4eae370a41fac9e060669378b5bfd90d47d387a0dec951d7d22,164
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6580685617a8721df77ca42a08e7b1d58da79cf9,true,0x3f8706dda49ad906934fd8da0e7077b7a217469d,0x9f3a95721ff945cd546552f911219a968d26eab3,8059483881000000,18075987,41027920919,200000000000,30000000000,0x147413e8caa3e1935e11786d6d4acbcc08a64070f4e7baa7fbac596053632ab0,6
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6580685617a8721df77ca42a08e7b1d58da79cf9,true,0xc23c1d21c5f47e6e733ecaa11f71b3bcb6ae824e,0x9f3a95721ff945cd546552f911219a968d26eab3,4017903000000000,18076033,15035967884,21372258554,3000000000,0x26aec02ee82ea29699e5d2f3a50bcbcbd766766dd0cdd0838cb85d28420aacc3,227
0x9f3a95721ff945cd546552f911219a968d26eab3,0x6580685617a8721df77ca42a08e7b1d58da79cf9,false,0x9f3a95721ff945cd546552f911219a968d26eab3,0xc059d1ab0af15ff1703926fb336772204d226d89,4725106512717370,18075995,31595647900,36110842439,20000000000,0x3e9c360c9aa7a538c7569a0b8b6649121b1e0c444c31b945979a3cc00c06121f,0
