msg_sender,token,is_transfer_from,sender,receiver,amount,block_number,gas_price,max_fee_per_gas,max_priority_fee_per_gas,tx_hash,tx_index
0xf51514c27f6b46ec9e9f6bb08b0f589762d50a1d,0x9b0e1c344141fb361b842d397df07174e1cdb988,false,0xf51514c27f6b46ec9e9f6bb08b0f589762d50a1d,0xd11d0e90a5ac410e8e942718d54e3baefa65c3db,8270854644193,18175539,8012809873,10833858002,100000000,0x4a5e4db81b9b4235e2575cfd3826e80709550cce5f030ec1b32caa4a8bebffa6,34
0xfffa78c979c2f787b16eac7c7e9c77b11feb77fb,0x9b0e1c344141fb361b842d397df07174e1cdb988,false,0xfffa78c979c2f787b16eac7c7e9c77b11feb77fb,0xec28a4519206eafafa807a5b2e66e22fca4bfd49,958544164285223,18174330,13137501849,15230318245,100000000,0x0062a8d2c5a5ab4381b727be31758d126318e1089f45084a72e0638cdb667ead,176
0x161bf804f9e50ee203024335ce927dcb411ae946,0x9b0e1c344141fb361b842d397df07174e1cdb988,false,0x161bf804f9e50ee203024335ce927dcb411ae946,0x11fd2f471de5c44c56605c134be41d8aea163743,152685411419260,18176127,7897083598,10333066991,100000000,0xeacb46e3ba0998b6bdd1f47267c1e15405ebe56a68aef0f1c9409be2da853180,90
0xfffa78c979c2f787b16eac7c7e9c77b11feb77fb,0x9b0e1c344141fb361b842d397df07174e1cdb988,false,0xfffa78c979c2f787b16eac7c7e9c77b11feb77fb,0x4b298b49972ab67d06fba741d3f1746f940b4dd5,2560263790083136,18177340,16822581426,20317416296,50000000,0x5e8430b629041d91a2590164056eaa3948d62ed2ac28107dd59aaf375920706c,20
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x9b0e1c344141fb361b842d397df07174e1cdb988,false,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xfffa78c979c2f787b16eac7c7e9c77b11feb77fb,5208206443806720,18173484,80404627463,80404627463,80404627463,0xf800e44611ad2449dbff30e958accc0ed7f4e38deceb80ae578ed7331fcb27f9,5
0x55517d04721117c4d7e2b0de08da03d3c13b795c,0x9b0e1c344141fb361b842d397df07174e1cdb988,false,0x55517d04721117c4d7e2b0de08da03d3c13b795c,0x11fd2f471de5c44c56605c134be41d8aea163743,260300000000000,18177805,18702137405,20010000000,1010000000,0xd5ecf15c6a495fa34c1ef0f12280447213126dcfb3a27907a16f640451b524b6,49
0xfffa78c979c2f787b16eac7c7e9c77b11feb77fb,0x9b0e1c344141fb361b842d397df07174e1cdb988,false,0xfffa78c979c2f787b16eac7c7e9c77b11feb77fb,0x2ba38ad050c7b39236575aa5c176e07ad3d36fc4,618192736310602,18173757,13393333627,18548410128,3000000000,0x4df654ca2a82cca9c99e5c2babb65ba3b1c84c09516cb77114f71d812f03b700,56
0x881d40237659c251811cec9c364ef91dc08d300c,0x9b0e1c344141fb361b842d397df07174e1cdb988,true,0x5506f5ee007c83684dd5c98adc42f357840a4cb8,0x74de5d4fcbf63e00296fd95d33236b9794016631,1229114918964536,18173920,9543218783,15841802219,300000000,0x2a0aa5ec80348f3b2d18186ce9f6efac3d4380dd13777918010f02fc99c0dce3,48
0xfffa78c979c2f787b16eac7c7e9c77b11feb77fb,0x9b0e1c344141fb361b842d397df07174e1cdb988,false,0xfffa78c979c2f787b16eac7c7e9c77b11feb77fb,0xd6eb04420ff765c0019fd464712c09768f32ea11,443621491416653,18173545,11734852121,12551000000,500000000,0xd231b2edc56bb15332d8020b9a26cda3a4b738e587891f097ef1b0aa239e2322,69
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x9b0e1c344141fb361b842d397df07174e1cdb988,false,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x5506f5ee007c83684dd5c98adc42f357840a4cb8,997457057740888,18173790,9199183740,15054688457,300000000,0xf8b21c7c8d01eb146a5d8c64a00f84f5437561b3626c59f1754931c15d7143f3,29
