msg_sender,token,is_transfer_from,sender,receiver,amount,block_number,gas_price,max_fee_per_gas,max_priority_fee_per_gas,tx_hash,tx_index
0xcd09b73dfeb14233fde9a473878d28cdaf2aa4ed,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0xcd09b73dfeb14233fde9a473878d28cdaf2aa4ed,0x3d42086d79dd52affd5ad416b53188e88e585c4a,219739212168540695287650,18176947,10003122432,12801206183,350000000,0xa97ea7e9a80ce4f85eb3395a71b7e4ad3decc7ec204cd6ecfaf415583b83ec5f,63
0x4b6755b90faf61dbeed58c6fd0e7f22b5ef56b7c,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0x4b6755b90faf61dbeed58c6fd0e7f22b5ef56b7c,0x7d0e43025573616e6959cfe073c6d513afa92aac,1931132068769860968,18175938,7957283037,9907416663,10220918,0x256a41d6f132689f97b594dc8cb598a9515381e05b4fb53aecaf1ea7beffafb9,146
0x74de5d4fcbf63e00296fd95d33236b9794016631,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x1dce3af3137fcf99bf2d23fa8bd0c3e53c2cf690,8145607469874147232032746,18177062,12693211132,20588766578,300000000,0xc13b0715bae543811fa8f1de6121af8dbbc8e77be7ea1868f5b3ca52b0f72435,53
0x74de5d4fcbf63e00296fd95d33236b9794016631,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xb41ea8cce918f41c195e87b98b908a4e66e21ff8,1289875690982599362787705,18174945,8006489786,15223619652,300000000,0x49cb2555983e9e3e5f09cc4d8beb741d49e759411b2c65b38e1c2788a280b385,68
0x74de5d4fcbf63e00296fd95d33236b9794016631,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x1dce3af3137fcf99bf2d23fa8bd0c3e53c2cf690,947587798842597232239935,18177032,11534784916,17260552952,300000000,0xcbf4ae5ad8756fa3a0d7ff096f980d7329630a890ee4a659a9d3de7a02f934f8,71
0xcd09b73dfeb14233fde9a473878d28cdaf2aa4ed,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0xcd09b73dfeb14233fde9a473878d28cdaf2aa4ed,0x36c75758161a1bd786cc3d02086c138586df15ea,1050408540623266481252262,18176393,9311143673,12632598681,100000000,0x43d546d254e70256bf61d5dafb9f435764ec62fd8874eb876fe9ce75eafaf353,206
0x4b6755b90faf61dbeed58c6fd0e7f22b5ef56b7c,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0x4b6755b90faf61dbeed58c6fd0e7f22b5ef56b7c,0xff5d2f526ce99f8c485b8192d66efb1d94e4fea7,112747908707222428204592,18177125,16608168812,null,null,0x7452ee9ef7c4938070aa5a9ef7a30c8eae8a8cf14f6e91d2d1227569850bd0d8,48
0x15d50f2c26cfdb6d60d82c0c599c737c525c0233,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0x15d50f2c26cfdb6d60d82c0c599c737c525c0233,0x1fc4356ee5c88b33970fb2a4312204a1259eb4f0,811976400226802830844069,18175751,8807996579,12097988008,100000000,0xf1723fda661b74f44c3e969261578c5bb2f28acc728eae00a5d6020dd9068bd2,129
0x4b6755b90faf61dbeed58c6fd0e7f22b5ef56b7c,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0x4b6755b90faf61dbeed58c6fd0e7f22b5ef56b7c,0xc574f90c5f45caf07bccd21d48ced5b8b46dd28a,41112954008271477457118,18176562,7973650376,10086223307,100000000,0xe9fe1eecbd9958cb0053c18892dca16cfcad9b3795742c4014ac51acfb0c34df,81
0x4b6755b90faf61dbeed58c6fd0e7f22b5ef56b7c,0xe4ab0be415e277d82c38625b72bd7dea232c2e7d,false,0x4b6755b90faf61dbeed58c6fd0e7f22b5ef56b7c,0xb42b70de55d3914ca3d6eb08bbe0ac7a95f2a8a9,40111524174793572000000,18175547,8998463273,11071351090,100000000,0x9984c56da83abef5d0abe8d95488f46ea908ead6260e852dbbb03d7be4c927a3,100
